2026-06-24T12:37:49.520842+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:37:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:38:19.621649+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:37:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:38:49.715757+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:38:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:39:19.814508+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:38:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:39:49.918147+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:39:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:40:20.023554+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:39:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:40:50.132943+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:40:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:41:20.230071+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:40:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:41:50.343269+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:41:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:42:20.452359+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:41:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:42:50.553060+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:42:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:43:20.658250+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:42:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:43:50.765214+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:43:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:44:20.866446+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:43:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:44:50.971715+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:44:26+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:45:21.078596+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:15:00+00:00; mode=live; export=2026-06-24T13:44:56+00:00; candle=2026-06-24T13:15:00+00:00
2026-06-24T12:45:51.192135+00:00 WRITE_SPLIT: Writing split proposed orders: BUY USDCHF 0.35; SELL USDJPY 100.00 as 101 capped chunks; mode=live; export=2026-06-24T13:45:26+00:00; candle=2026-06-24T13:30:00+00:00
